név;elhelyezkedés;távolság;átadás
A. Murray MacKay híd;Halifax, Nova Scotia, Kanada;427;1970
Aizhai híd;Jishou − Hunan, Kína;1176;2012
Akasi Kaikjó híd;Kóbe − Awaji, Japán;1991;1998
Akinada-híd;Hirosima, Japán;750;2000
Älvsborgsbron;Göteborg, Svédország;417;1966
Ambassador híd ;Detroit, Michigan, USA − Windsor, Ontario, Kanada;564;1929
Angus L. Macdonald híd;Halifax, Új-Skócia, Kanada;441;1955
Április 25. híd;Lisszabon − Almada, Portugália;1013;1966
Askøy-híd;Bergen – Askøy, Norvégia;850;1992
Baling folyó hídja;Guanling, Kína;1088;2009
Bay híd ;San Francisco – Oakland, Kalifornia, USA;704;1936
Bay híd ;San Francisco – Oakland, Kalifornia, USA;704;1936
Bear Mountain híd ;Peekskill (New York), USA;497;1924
Beipan folyó Hukun autópálya hídja;Qinglong megye − Kujcsou, Kína;636;2009
Benjamin Franklin híd ;Philadelphia (Pennsylvania) − Camden (New Jersey), USA;533;1926
Bidwell Bar híd;Oroville (Kalifornia), USA;338;1965
Bømla-híd;Bømlo − Stord, Norvégia;577;2001
Boszporusz-híd;Isztambul, Törökország;1074;1973
Bronx-Whitestone híd;Queens – Bronx, New York City, USA;701;1939
Brooklyn híd;Manhattan – Brooklyn, New York City, USA;486;1883
Carquinez-híd;Vallejo – Crockett, Kalifornia, USA;728;2003
Chesapeake Bay híd I;Chesapeake Bay, Maryland, USA;488;1952
Chesapeake Bay híd II;Chesapeake Bay, Maryland, USA;488;1973
Claiborne Pell Newport híd;Newport – Jamestown, Rhode Island, USA;488;1969
Cuntan híd;Csungking, Kína;880;2017
Dalsfjord híd;Dale – Askvoll − Sogn og Fjordane megye, Norvégia;523;2013
Dazi-híd;Dazi, Kína;500;1984
Deer Isle híd;Penobscot Bay (Maine), USA;329;1939
Delaware Memorial híd I;New Castle (Delaware) − Pennsville (New Jersey), USA;656;1951
Delaware Memorial híd II;New Castle (Delaware) − Pennsville (New Jersey), USA;656;1968
Déli Bisan-Seto-híd;Kōjima − Sakaide, Japán;1100;1988
Dimuhe híd;Liupanshui − Kujcsou, Kína;538;2016
Egongyan-híd;Csungking, Kína;600;2000
Első Kurushima Kaikyo híd;Onomichi − Imabari, Japán;600;1999
Északi Bisan-Seto-híd;Kōjima − Sakaide, Japán;990;1988
Fedafjord-híd;Feda, Norvégia;335;2006
Fengdu-híd;Szecsuan, Kína;450;1996
Forth Road híd;Firth of Forth, Egyesült Királyság;1006;1964
Fuma híd;Wanzhou − Csungking, Kína;1050;2017
George Washington híd ;Fort Lee (New Jersey) − Manhattan (New York City), USA;1067;1931
Gjemnessund-híd;Gjemnes − Bergsøya, Norvégia;623;1992
Golden Gate híd;San Francisco − Sausalito, Kalifornia, USA;1280;1937
Gwang-An-híd;Busan, Südkorea;500;2002
Győzedelmes Mehmed szultán hídja;Isztambul, Törökország;1090;1988
Haicang-híd;Xiamen, Kína;648;1999
Hakuchō-híd;Muroran, Japán;720;1998
Hardanger híd;Hordaland megye, Norvégia;1310;2013
Harmadik Kurushima Kaikyo híd;Onomichi − Imabari, Japán;1030;1999
Hercílio-Luz-híd;Florianópolis – Santa Catarina, Brazília;340;1926
Hirado-híd;Hirado, Japán;460;1977
Högakustenbrücke;Härnösand − Kramfors, Svédország;1210;1997
Huangpu híd;Kanton − Kuangtung, Kína;1108;2008
Humber híd;Barton-upon-Humber − Hessle, Egyesült Királyság;1410;1981
Humen-híd;Dongguan, Kína;888;1997
I Szunsin híd;Joszu, Dél-Korea;1545;2012
Inoshima-híd;Onomichi – Imabari, Japán;770;1983
Jeokgeum híd;Ucheon − Jeokgeum, Dél-Csolla, Dél-Korea;850;2016
Jiangyin-híd;Jiangyin − Jingjiang, Kína;1385;1999
Jijiang híd;Csungking, Kína;600;2016
Jinshajiang híd II;Hulukouzhen − Szecsuan, Kína;656;2017
Kammon-híd;Shimonoseki – Kitakyūshū, Japán;712;1973
Kvalsund-híd;Kvalsund – Hammerfest, Norvégia;525;1977
Lions Gate híd;Vancouver – North Vancouver, Brit Columbia, Kanada;473;1938
Lishui-híd;Zhangjiajie − Hunan, Kína;856;2013
Liujiaxia;Liujiaxiazhen − Kanszu, Kína;536;2012
Longjiang-híd;Baoshan − Jünnan, Kína;1196;2016
Lysefjord-híd;Forsand, Norvégia;446;1997
Ma'anshan híd;Ma'anshan − Anhuj, Kína;1080;2013
Mackinac híd;Mackinaw City − St. Ignace, Michigan, USA;1158;1957
Manhattan híd;Manhattan – Brooklyn, New York City, USA;448;1909
Második Kurushima Kaikyo híd;Onomichi − Imabari, Japán;1020;1999
Matadi-híd;Matadi, Dem. Rep. Kongo;520;1983
Miaozui híd;Yichang − Hupej, Kína;838;2016
Mid-Hudson híd;Poughkeepsie (New York), USA;456;1930
Mount Hope híd;Portsmouth – Bristol, Rhode Island, USA;366;1929
Nagy-Bælt híd;Großer Belt, Dánia;1624;1998
Namhae-híd;Hadong – Namhae, Südkorea;404;1973
Nanxi híd;Yibin − Szecsuan, Kína;820;2012
Naruto-híd;Awaji − Naruto, Japán;876;1985
Negyedik nankingi Jangce-híd;Nanking − Csiangszu, Kína;1418;2012
Ny Lillebæltsbro;Kleiner Belt, Dánia;600;1970
Ogdensburg-Prescott International híd;Ogdensburg (New York), USA – Prescott (Ontario), Kanada;351;1960
Ōshima-híd;Onomichi − Imabari, Japán;560;1988
Osman Gazi híd;Izmit-öböl, Törökország;1550;2016
Osterøy-híd;Osterøy − Bergen, Norvégia;595;1997
Pont d’Aquitaine;Bordeaux, Franciaország;394;1967
Pont de Tancarville;Tancarville − Marais-Vernier, Haute-Normandie, Franciaország;608;1959
Pont Pierre-Laporte;Québec − Lévis, Kanada;668;1970
Puente de Angostura;Ciudad Bolívar, Venezuela;712;1967
Puli híd;Qujing − Jünnan, Kína;628;2015
Qincaobei híd;Lidu − Csungking, Kína;788;2013
Qingshui folyó hídja;Kujcsou, Kína;1130;2015
Rainbow híd;Tokió, Japán;570;1993
Rheinbrücke Emmerich;Emmerich am Rhein – Kleve, Németország;500;1965
Rheinbrücke Köln-Rodenkirchen;Köln-Rodenkirchen, Németország;378;1954
Runyang-híd;Csencsiang − Jangcsou, Kína;1490;2005
Semei-híd;Semei, Kasachstan;750;2002
Severn híd;Bristolkanal, Egyesült Királyság;988;1966
Shantou-híd;Shantou, Kína;452;1996
Shimotsui-Seto-híd;Kōjima − Sakaide, Japán;940;1988
Siduhe-híd;Yesanguan, Kína;900;2009
Skjomen-híd;Narvik, Norvégia;525;1972
Sotra-híd;Bergen – Sotra, Norvégia;468;1971
St. Johns híd;Portland, Oregon, USA;368;1931
Storda-híd;Stord − Føyno, Norvégia;677;2001
Tacoma Narrows hidak (Észak);Tacoma − Gig Harbor, Washington, USA;853;1950
Tacoma Narrows hidak (Kelet);Tacoma − Gig Harbor, Washington, USA;853;2007
Taizhou híd;Taizhou − Csiangszu, Kína;1080;2012
Tamar-híd;Plymouth – Saltash, Egyesült Királyság;335;1961
Throgs Neck híd;Bronx − Queens, New York City, USA;549;1961
Toyoshima híd;Hirosima prefektúra, Japán;540;2008
Triborough híd;Manhattan – Bronx – Queens, New York City, USA;421;1936
Tsing-Ma-híd;Tsing Yi − Ma Wan, Hongkong, Kína;1377;1997
Ulsan híd;Ulszan, Dél-Korea;1150;2015
Varodd-híd;Kristiansand, Norvégia;337;1956
Verrazano-Narrows híd;Brooklyn − Staten Island, New York City, USA;1298;1964
Vincent Thomas híd;Los Angeles, USA;457;1963
Vitéz Szelim szultán híd;Isztambul, Törökország;1408;2016
Wakato-híd;Kitakyūshū, Japán;367;1962
Walt Whitman híd;Philadelphia (Pennsylvania) − Gloucester City (New Jersey), USA;610;1957
Williamsburg híd;Manhattan – Brooklyn, New York City, USA;488;1903
Xihoumen-híd;Zhoushan, Kína;1650;2008
Xiling-híd;Xiling, Kína;900;1996
Yangluo híd;Vuhan, Kína;1280;2007
Yichang-híd;Yichang, Kína;960;1996
Yingwuzhou híd;Vuhan − Hupej, Kína;850;2014
Yuzui Jangce-híd;Yuzuizhen − Csungking, Kína;616;2009
Zhongxian-híd;Csungking, Kína;560;2001
Zweite Wanxian-híd;Csungking, Kína;580;2004